,Term,ID,Definition,Synonyms,HPO_ID
176,Triangular mouth,0000207,The presence of a triangular form of the mouth.,"Triangular mouth, Triangular shaped mouth, Triangular shaped oral aperture",HP:0000207
177,Trismus,0000211,Limitation in the ability to open the mouth.,"Lockjaw, Pain of muscles of mastication",HP:0000211
178,Gingival overgrowth,0000212,"Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.","Gingival enlargement, Gingival hyperplasia, Gum enlargement, Gum hypertrophy, Hypertrophic gingivitis",HP:0000212
179,Lip telangiectasia,0000214,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips.","Labial telangiectasia, Lip telangiectases, Telangiectasia of the lips",HP:0000214
180,Thick upper lip vermilion,0000215,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).","Full upper lip, Full upper lip vermilion, Increased height of upper lip vermilion, Increased volume of upper lip, Increased volume of upper lip vermilion, Plump upper lip, Prominent upper lip, Thick upper lip, Thick vermilion border of upper lip",HP:0000215
181,Broad secondary alveolar ridge,0000216,,Secondary alveolar ridges,HP:0000216
182,Xerostomia,0000217,Dryness of the mouth due to salivary gland dysfunction.,"Dry mouth, Dry mouth syndrome, Reduced salivation",HP:0000217
183,High palate,0000218,Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).,"Elevated palate, High arched palate, High palate, High, arched palate, High-arched palate, Increased palatal height, Palate high-arched, Palate, high-arched",HP:0000218
184,Thin upper lip vermilion,0000219,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective).","Decreased height of upper lip vermilion, Decreased volume of upper lip, Decreased volume of upper lip vermilion, Thin upper lip, Thin vermilion border of upper lip",HP:0000219
185,Velopharyngeal insufficiency,0000220,Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech.,Velopharyngeal incompetence,HP:0000220
186,Furrowed tongue,0000221,Accentuation of the grooves on the dorsal surface of the tongue.,"Fissured tongue, Grooved tongue, Lingua plicata, Lingual furrow, Plicated tongue, Prominent tongue grooves, Scrotal tongue",HP:0000221
187,Gingival hyperkeratosis,0000222,Hyperkeratosis of the gingiva.,"Hyperkeratosis, gingival",HP:0000222
188,Abnormality of taste sensation,0000223,,Abnormality of taste sensation,HP:0000223
189,Hypogeusia,0000224,A decreased ability to perceive flavor.,"Decreased taste, Decreased taste sensation",HP:0000224
190,Gingival bleeding,0000225,Hemorrhage affecting the gingiva.,"Bleeding gums, Gingival haemorrhage, Gingival hemorrhage, Gingivorrhagia",HP:0000225
191,Tongue telangiectasia,0000227,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue.",Lingual telangiectasia,HP:0000227
192,Oral cavity telangiectasia,0000228,Presence of telangiectases in the oral cavity.,Oral cavity teleangiectasia,HP:0000228
193,Gingivitis,0000230,Inflammation of the gingiva.,"Gingival inflammation, Inflamed gums, Red and swollen gums",HP:0000230
194,Everted lower lip vermilion,0000232,"An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.","Drooping lower lip, Eclabium of lower lip, Everted lower lip, Everted prominent lower lip, Outward turned lower lip",HP:0000232
195,Thin vermilion border,0000233,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips).","Decreased volume of lip, Decreased volume of lip vermillion, Thin lips, Thin vermillion",HP:0000233
196,Abnormality of the head,0000234,An abnormality of the head.,"Abnormal head, Abnormality of the head, Head abnormality",HP:0000234
197,Abnormality of the fontanelles or cranial sutures,0000235,Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments).,,HP:0000235
198,Abnormality of the anterior fontanelle,0000236,"An abnormality of the anterior fontanelle, i.e., the cranial fontanelle that is located at the intersection of the coronal and sagittal sutures.",Abnormality of the forehead soft spot,HP:0000236
199,Small anterior fontanelle,0000237,Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms.,"Small anterior fontanel, Small forehead fontanel",HP:0000237
200,Hydrocephalus,0000238,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.,"Hydrocephaly, Nonsyndromal hydrocephalus, Too much cerebrospinal fluid in the brain",HP:0000238
201,Large fontanelles,0000239,"In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gradually ossify, whereby the posterior fontanelle usually closes by eight weeks and the anterior fontanelle by the 9th to 16th month of age. Large fontanelles are diagnosed if the fontanelles are larger than age-dependent norms.","Enlarged fontanelles, Large fontanel, Large fontanelle, Large fontanels, Persistent wide fontanel, Wide fontanelles",HP:0000239
202,Abnormality of skull size,0000240,Any abnormality of the size of the skull.,"Abnormality of cranium size, Abnormality of skull size",HP:0000240
203,Parietal bossing,0000242,Parietal bossing is a marked prominence in the parietal region.,"Biparietal bossing, Bossing of parietal bone",HP:0000242
204,Trigonocephaly,0000243,"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput.","Triangular cranium shape, Triangular skull shape, Wedge shaped cranium, Wedge shaped skull",HP:0000243
205,Brachyturricephaly,0000244,"Abnormal vertical height of the skull and a shortening of its anterior-posterior length, frequently combined with malformations of the occipital region.","Brachy-turricephaly, High, prominent forehead, Turribrachycephaly",HP:0000244
206,Abnormal paranasal sinus morphology,0000245,"Abnormality of the paranasal (cranial) sinuses, which are air-filled spaces that are located within the bones of the skull and face and communicate with the nasal cavity. They comprise the maxillary sinuses, the frontal sinuses, the ethmoid sinuses, and the sphenoid sinuses.",Abnormality of the sinuses of the head,HP:0000245
207,Sinusitis,0000246,"Inflammation of the paranasal sinuses owing to a viral, bacterial, or fungal infection, allergy, or an autoimmune reaction.",Sinus inflammation,HP:0000246
208,Brachycephaly,0000248,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width.",Short and broad skull,HP:0000248
209,Dense calvaria,0000250,An abnormal increase of density of the bones making up the calvaria.,Dense skull cap,HP:0000250
210,Microcephaly,0000252,Head circumference below 2 standard deviations below the mean for age and gender.,"Abnormally small cranium, Abnormally small skull, Decreased circumference of cranium, Decreased size of cranium, Decreased size of skull, Reduced head circumference, small calvarium, small cranium, Small head circumference",HP:0000252
211,Progressive microcephaly,0000253,Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms.,"Microcephaly, postnatal, progressive, Microcephaly, progressive, Progressively abnormally small cranium, Progressively abnormally small skull",HP:0000253
212,Acute sinusitis,0000255,An acute form of sinusitis.,,HP:0000255
213,Macrocephaly,0000256,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium.","Increased size of cranium, Increased size of skull, Large head, Large head circumference, Macrocephalus, Macrocrania, Megacephaly",HP:0000256
214,Wide anterior fontanel,0000260,Enlargement of the anterior fontanelle with respect to age-dependent norms.,"Large anterior fontanel, Large anterior fontanelle, Large open anterior fontanel, Large open anterior fontanelle, Wide anterior fontanelle, Wide open anterior fontanelle, Wider-than-typical soft spot of skull",HP:0000260
215,Turricephaly,0000262,Tall head relative to width and length.,"Tall shaped cranium, Tall shaped skull, Tower cranium shape, Tower skull shape, Turricephalus",HP:0000262
216,Oxycephaly,0000263,"Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull.",,HP:0000263
217,Abnormal mastoid morphology,0000264,"An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone.","Abnormality of mastoid process of temporal bone, Abnormality of the mastoid",HP:0000264
218,Mastoiditis,0000265,,,HP:0000265
219,Cranial asymmetry,0000267,Asymmetry of the bones of the skull.,"Asymmetry of cranium, Cranial vault asymmetry",HP:0000267
220,Dolichocephaly,0000268,"An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture.","Long, narrow head, Tall and narrow skull",HP:0000268
221,Prominent occiput,0000269,Increased convexity of the occiput (posterior part of the skull).,"Prominent back of the skull, Prominent posterior cranium, Prominent posterior skull, Protruding occiput",HP:0000269
222,Delayed cranial suture closure,0000270,"Infants normally have two fontanels at birth, the diamond-shaped anterior fontanelle at the junction of the coronal and sagittal sutures, and the posterior fontanelle at the intersection of the occipital and parietal bones. The posterior fontanelle usually closes by the 8th week of life, and the anterior fontanel closes by the 18th month of life on average. This term applies if there is delay of closure of the fontanelles beyond the normal age.","Broad late closing cranial sutures, Delayed closure of fontanel, Delayed closure of fontanelles, Delayed closure of fontanels, Delayed closure of the fontanelles, Delayed cranial suture closure, Delayed fontanel closure, Delayed fontanelle closure, Late closing fontanelles, Late closure of fontanelle, Late-closing fontanelle, Open sutures",HP:0000270
