Term,ID,Definition,Synonyms
Abnormality of the anterior fontanelle,236,"An abnormality of the anterior fontanelle, i.e., the cranial fontanelle that is located at the intersection of the coronal and sagittal sutures.",Abnormality of the forehead soft spot
Small anterior fontanelle,237,Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms.,"Small anterior fontanel, Small forehead fontanel"
Hydrocephalus,238,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.,"Hydrocephaly, Nonsyndromal hydrocephalus, Too much cerebrospinal fluid in the brain"
Large fontanelles,239,"In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gradually ossify, whereby the posterior fontanelle usually closes by eight weeks and the anterior fontanelle by the 9th to 16th month of age. Large fontanelles are diagnosed if the fontanelles are larger than age-dependent norms.","Enlarged fontanelles, Large fontanel, Large fontanelle, Large fontanels, Persistent wide fontanel, Wide fontanelles"
Abnormality of skull size,240,Any abnormality of the size of the skull.,"Abnormality of cranium size, Abnormality of skull size"
Parietal bossing,242,Parietal bossing is a marked prominence in the parietal region.,"Biparietal bossing, Bossing of parietal bone"
Trigonocephaly,243,"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput.","Triangular cranium shape, Triangular skull shape, Wedge shaped cranium, Wedge shaped skull"
Brachyturricephaly,244,"Abnormal vertical height of the skull and a shortening of its anterior-posterior length, frequently combined with malformations of the occipital region.","Brachy-turricephaly, High, prominent forehead, Turribrachycephaly"
Abnormal paranasal sinus morphology,245,"Abnormality of the paranasal (cranial) sinuses, which are air-filled spaces that are located within the bones of the skull and face and communicate with the nasal cavity. They comprise the maxillary sinuses, the frontal sinuses, the ethmoid sinuses, and the sphenoid sinuses.",Abnormality of the sinuses of the head
Sinusitis,246,"Inflammation of the paranasal sinuses owing to a viral, bacterial, or fungal infection, allergy, or an autoimmune reaction.",Sinus inflammation
Brachycephaly,248,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width.",Short and broad skull
Dense calvaria,250,An abnormal increase of density of the bones making up the calvaria.,Dense skull cap
Microcephaly,252,Head circumference below 2 standard deviations below the mean for age and gender.,"Abnormally small cranium, Abnormally small skull, Decreased circumference of cranium, Decreased size of cranium, Decreased size of skull, Reduced head circumference, small calvarium, small cranium, Small head circumference"
Progressive microcephaly,253,Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms.,"Microcephaly, postnatal, progressive, Microcephaly, progressive, Progressively abnormally small cranium, Progressively abnormally small skull"
Acute sinusitis,255,An acute form of sinusitis.,
Macrocephaly,256,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium.","Increased size of cranium, Increased size of skull, Large head, Large head circumference, Macrocephalus, Macrocrania, Megacephaly"
Wide anterior fontanel,260,Enlargement of the anterior fontanelle with respect to age-dependent norms.,"Large anterior fontanel, Large anterior fontanelle, Large open anterior fontanel, Large open anterior fontanelle, Wide anterior fontanelle, Wide open anterior fontanelle, Wider-than-typical soft spot of skull"
Turricephaly,262,Tall head relative to width and length.,"Tall shaped cranium, Tall shaped skull, Tower cranium shape, Tower skull shape, Turricephalus"
Oxycephaly,263,"Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull.",
Abnormal mastoid morphology,264,"An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone.","Abnormality of mastoid process of temporal bone, Abnormality of the mastoid"
Mastoiditis,265,,
Cranial asymmetry,267,Asymmetry of the bones of the skull.,"Asymmetry of cranium, Cranial vault asymmetry"
Dolichocephaly,268,"An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture.","Long, narrow head, Tall and narrow skull"
Prominent occiput,269,Increased convexity of the occiput (posterior part of the skull).,"Prominent back of the skull, Prominent posterior cranium, Prominent posterior skull, Protruding occiput"
Delayed cranial suture closure,270,"Infants normally have two fontanels at birth, the diamond-shaped anterior fontanelle at the junction of the coronal and sagittal sutures, and the posterior fontanelle at the intersection of the occipital and parietal bones. The posterior fontanelle usually closes by the 8th week of life, and the anterior fontanel closes by the 18th month of life on average. This term applies if there is delay of closure of the fontanelles beyond the normal age.","Broad late closing cranial sutures, Delayed closure of fontanel, Delayed closure of fontanelles, Delayed closure of fontanels, Delayed closure of the fontanelles, Delayed cranial suture closure, Delayed fontanel closure, Delayed fontanelle closure, Late closing fontanelles, Late closure of fontanelle, Late-closing fontanelle, Open sutures"
Abnormality of the face,271,An abnormality of the face.,"Abnormal face, Abnormality of the face, Facial abnormality"
Malar flattening,272,"Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation.","Decreased size of malar bone, Depressed malar region, Flat cheekbone, Malar hypoplasia, Underdevelopment of malar bone, Zygomatic flattening"
Facial grimacing,273,,Facial grimacing
Small face,274,A face that is short and narrow.,"Facial hypoplasia, Hypoplasia of face, Microface, Microfacies, Short and narrow face, Small face, Small facies"
Narrow face,275,"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).","Decreased breadth of face, Decreased horizontal dimension of face, Decreased transverse dimension of face, Decreased width of face, Horizontal deficiency of face, Horizontal hypoplasia of face, Horizontal insufficiency of face, Narrow face, Narrow facies, Thin facies, Transverse deficiency of face, Transverse hypoplasia of face, Transverse insufficiency of face"
Long face,276,"Facial height (length) is more than 2 standard deviations above the mean (objective); or, an apparent increase in the height (length) of the face (subjective).","Elongation of face, Increased height of face, Increased length of face, Increased vertical dimension of face, Long face, Long facies, Vertical elongation of face, Vertical enlargement of face, Vertical excess of face, Vertical Facial Excess, Vertical hyperplasia of face, Vertical overgrowth of face"
Abnormal mandible morphology,277,"Any abnormality of the mandible, the bone of the lower jaw.","Abnormality of the lower jaw bone, Abnormality of the mandible"
Retrognathia,278,An abnormality in which the mandible is mislocalised posteriorly.,"Lower jaw retrognathia, Receding chin, Receding lower jaw, Receding mandible, Retrognathia of lower jaw, Weak chin, Weak jaw"
Coarse facial features,280,"Absence of fine and sharp appearance of brows, nose, lips, mouth, and chin, usually because of rounded and heavy features or thickened skin with or without thickening of subcutaneous and bony tissues.","Coarse face, Coarse facial appearance, Coarse facial features, Coarse facies"
Facial edema,282,,"Facial oedema, Facial puffiness, Facial swelling"
Broad face,283,Bizygomatic (upper face) and bigonial (lower face) width greater than 2 standard deviations above the mean (objective); or an apparent increase in the width of the face (subjective).,"Broad face, Broad facies, Horizontal excess of face, Horizontal hyperplasia of face, Increased breadth of face, Increased horizontal dimension of face, Increased transverse dimension of face, Increased width of face, Transverse excess of face, Transverse hyperplasia of face, Wide face, Wide facies"
Epicanthus,286,"A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus.","Epicanthal fold, Epicanthal folds, Epicanthic folds, Eye folds, Palpebronasal fold, Plica palpebronasalis, Prominent eye folds"
Increased facial adipose tissue,287,An increased amount of subcutaneous fat tissue in the face.,"Increased amount of facial adipose tissue, Increased amount of facial fat, Increased volume of facial adipose tissue"
Abnormality of the philtrum,288,An abnormality of the philtrum.,"Abnormal philtrum, Abnormality of the infranasal depression, Abnormality of the paralabial region"
Broad philtrum,289,"Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum.","Increased breadth of philtrum, Increased horizontal dimension of philtrum, Increased transverse dimension of philtrum, Increased width of philtrum, Wide philtrum"
