,Definition,ClassificationLevel
814,congenital malformations resulting from abnormal budding of the foregut and are most commonly found in the mediastinum.,Disorder
817,isolated cleft lip is a fissure type embryopathy extending from the upper lip to the nasal base.,Disorder
818,"cleft lip and palate is a fissure type embryopathy extending across the upper lip, nasal base, alveolar ridge and the hard and soft palate.",Disorder
828,"6-pyruvoyl-tetrahydropterin synthase (ptps) deficiency is one of the causes of malignant hyperphenylalaninemia due to tetrahydrobiopterin deficiency. not only does tetrahydrobiopterin deficiency cause hyperphenylalaninemia, it is also responsible for defective neurotransmission of monoamines because of malfunctioning tyrosine and tryptophan hydroxylases, both tetrahydrobiopterin-dependent hydroxylases.",Subtype of disorder
829,"6-pyruvoyl-tetrahydropterin synthase (ptps) deficiency is one of the causes of malignant hyperphenylalaninemia due to tetrahydrobiopterin deficiency. not only does tetrahydrobiopterin deficiency cause hyperphenylalaninemia, it is also responsible for defective neurotransmission of monoamines because of malfunctioning tyrosine and tryptophan hydroxylases, both tetrahydrobiopterin-dependent hydroxylases.",Group of disorders
842,a malignant soft tissue tumor which develops from cells of striated muscle. it is the most common form of tumor found in children and adolescents.,Disorder
845,a chronic progressive encephalitis that develops a few years after measles infection and presents with a demyelination of the cerebral cortex.,Disorder
846,"a heterogeneous group of rare, acquired and chronic hematological malignancies related to an abnormal accumulation/proliferation of neoplastic mast cells (mcs) in one or several organs, mainly the bone marrow (bm), associated frequently with skin involvement.",Group of disorders
847,"a heterogeneous group of rare, acquired and chronic hematological malignancies related to an abnormal accumulation/proliferation of neoplastic mast cells (mcs) in one or several organs, mainly the bone marrow (bm), associated frequently with skin involvement.",Disorder
851,"a rare disorder characterized clinically by the onset of fragmentary myoclonus appearing in the first month of life, often associated with erratic focal seizures and a suppression-burst eeg pattern.",Disorder
855,"a rare pneumoconiosis caused by exposure to asbestos particles. symptoms may appear many years after exposure and include progressive dyspnea on exertion, dry cough, chest pain, tightness, inspiratory crackles, clubbing of the fingers. later complications include mesothelioma and lung cancers.",Disorder
856,rabies is a viral zoonosis leading to a fatal encephalopathy if not treated.,Disorder
870,"a rare neurological disorder comprising fluctuating trunk and limb stiffness, painful muscle spasms, task-specific phobia, an exaggerated startle response, and ankylosing deformities such as fixed lumbar hyperlordosis.",Disorder
878,"tuberculosis (tb) is a contagious-infectious disease caused mainly by <i>mycobacterium tuberculosis</i> that in most individuals is usually asymptomatic but that in at risk individuals (e.g. with diabetes or with hiv infection) can cause weakness, fever, weight loss, night sweat, and respiratory anomalies such as chronic cough, chest pain, hemoptysis or respiratory insufficiency.",Disorder
883,"a clinically heterogeneous spectrum of rare post-infectious neuropathies that usually occur in otherwise healthy patients and encompasses acute inflammatory demyelinating polyradiculoneuropathy (aidp), acute motor axonal neuropathy (aman) and acute motor-sensory axonal neuropathy (amsan), miller-fisher syndrome (mfs) and some other regional variants.",Group of disorders
891,"a malignant hepatic tumor, typically affecting the pediatric population, arising mostly in an otherwise healthy liver. the most common signs are abdominal distension and abdominal mass. sometimes patients present with anorexia, weight loss, fatigue. most hbls are sporadic, but some cases are associated with genetic factors, especially overgrowth syndromes, such as beckwith-wiedemann syndrome (bws) or hemihypertrophy, and familial adenomatous polyposis (fap).",Disorder
916,"lcat (lecithin-cholesterol acyltransferase) deficiency is a rare lipoprotein metabolism disorder characterized clinically by corneal opacities, and sometimes renal failure and hemolytic anemia, and biochemically by severely reduced hdl cholesterol.",Disorder
917,"a rare genetic hypoaldosteronism that typically presents in infancy (earl-onset familial hypoaldosternism) as a life-threatening electrolyte imbalance (failure to thrive, recurrent vomiting, and severe dehydration). a history of fever, diarrhoea, lethargy, poor weight gain, poor feeding since birth may also be present. older subjects (late-onset familial hypoaldosteronism) are less severely affected or asymptomatic.",Disorder
928,"a rare, slow-growing, epithelial thyroid carcinoma typically presenting as an asymptomatic thyroid mass and is classed as either papillary thyroid cancer (ptc), follicular thyroid cancer (ftc) or hurthle cell thyroid cancer (hctc).",Disorder
930,"carnitine palmitoyltransferase ii (cpt ii) deficiency is an inherited metabolic disorder that affects mitochondrial oxidation of long chain fatty acids (lcfa). three forms of cpt ii deficiency have been described: a myopathic form, a severe infantile form and a neonatal form (see these terms).",Disorder
936,bazex-dupré-christol syndrome is a rare genodermatosis with a predisposition to early-onset basal cell carcinomas.,Disorder
937,bazex-dupré-christol syndrome is a rare genodermatosis with a predisposition to early-onset basal cell carcinomas.,Disorder
938,"46,xx gonadal dysgenesis (46,xx gd) is a primary ovarian defect leading to premature ovarian failure (pof; see this term) in otherwise normal 46,xx females as a result of failure of the gonads to develop or due to resistance to gonadotrophin stimulation.",Disorder
939,"46,xx gonadal dysgenesis (46,xx gd) is a primary ovarian defect leading to premature ovarian failure (pof; see this term) in otherwise normal 46,xx females as a result of failure of the gonads to develop or due to resistance to gonadotrophin stimulation.",Group of disorders
941,congenital bilateral absence of the vas deferens (cbavd) is a condition leading to male infertility.,Disorder
942,"extragonadal germinoma is a rare, malignant germ cell tumor that occur in the midline of the body as a result of abnormal germ cell migration during embryogenesis. clinical manifestations are variable and depend on the location and size of the tumor. central nervous system tumor might present with headache, visual disturbances, endocrine abnormalities, and signs of increased intracranial pressure. a mediastinal tumor commonly presents with chest pain, dyspnea, cough and fever. abdominal mass with or without pain, backache and weight loss are common clinical presentations in retroperitoneal tumor.",Disorder
